Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
28,tt0109830,2026-05-23,2026-05-23,,"Forrest Gump","Forrest Gump",https://www.imdb.com/title/tt0109830/,Movie,8.8,142,1994,"Drama, Romance",2505433,1994-07-06,"Robert Zemeckis",,
29,tt3967856,2026-05-23,2026-05-23,,"Okja","Okja",https://www.imdb.com/title/tt3967856/,Movie,7.3,120,2017,"Action, Adventure, Drama, Sci-Fi",142291,2017-06-28,"Bong Joon Ho",,
30,tt0335266,2026-05-23,2026-05-23,,"Lost in Translation","Lost in Translation",https://www.imdb.com/title/tt0335266/,Movie,7.7,102,2003,"Comedy, Drama",530823,2003-10-03,"Sofia Coppola",,
31,tt0088763,2026-05-23,2026-05-23,,"Back to the Future","Back to the Future",https://www.imdb.com/title/tt0088763/,Movie,8.5,116,1985,"Adventure, Comedy, Sci-Fi",1458666,1985-07-03,"Robert Zemeckis",,
32,tt0248667,2026-05-23,2026-05-23,,"Ali","Ali",https://www.imdb.com/title/tt0248667/,Movie,6.7,157,2001,"Biography, Drama, Sport",110362,2001-12-25,"Michael Mann",,
33,tt0976051,2026-05-23,2026-05-23,,"The Reader","The Reader",https://www.imdb.com/title/tt0976051/,Movie,7.6,124,2008,"Drama, Mystery, Romance",274408,2009-01-30,"Stephen Daldry",,
34,tt0104797,2026-05-23,2026-05-23,,"Malcolm X","Malcolm X",https://www.imdb.com/title/tt0104797/,Movie,7.7,202,1992,"Biography, Drama, History",111548,1992-11-18,"Spike Lee",,
35,tt0120689,2026-05-23,2026-05-23,,"The Green Mile","The Green Mile",https://www.imdb.com/title/tt0120689/,Movie,8.6,189,1999,"Crime, Drama, Fantasy, Mystery",1566902,1999-12-10,"Frank Darabont",,
36,tt1010048,2026-05-23,2026-05-23,,"Slumdog Millionaire","Slumdog Millionaire",https://www.imdb.com/title/tt1010048/,Movie,8.0,120,2008,"Crime, Drama, Romance",911716,2008-12-25,"Danny Boyle, Loveleen Tandan",,
37,tt0401383,2026-05-23,2026-05-23,,"The Diving Bell and the Butterfly","Le scaphandre et le papillon",https://www.imdb.com/title/tt0401383/,Movie,8.0,112,2007,"Biography, Drama",112944,2008-02-01,"Julian Schnabel",,
